Arrival Airport,Flight Status
'-,Cancelled
'-,Delayed
'-,On Time
0,Cancelled
0,Delayed
0,On Time
AAA,Cancelled
AAA,Delayed
AAA,On Time
AAB,Cancelled
AAB,Delayed
AAB,On Time
AAC,Cancelled
AAC,Delayed
AAC,On Time
AAD,Cancelled
AAD,Delayed
AAD,On Time
AAE,Cancelled
AAE,Delayed
AAE,On Time
AAF,Cancelled
AAF,Delayed
AAF,On Time
AAG,Cancelled
AAG,Delayed
AAG,On Time
AAH,Cancelled
AAH,Delayed
AAH,On Time
AAI,Cancelled
AAI,Delayed
AAI,On Time
AAJ,Cancelled
AAJ,Delayed
AAJ,On Time
AAK,Cancelled
AAK,Delayed
AAK,On Time
AAL,Cancelled
AAL,Delayed
AAL,On Time
AAM,Cancelled
AAM,Delayed
AAM,On Time
AAN,Cancelled
AAN,Delayed
AAN,On Time
AAO,Cancelled
AAO,Delayed
AAO,On Time
AAP,Cancelled
AAP,Delayed
AAP,On Time
AAQ,Cancelled
AAQ,Delayed
AAQ,On Time
AAR,Cancelled
AAR,Delayed
AAR,On Time
AAS,Cancelled
AAS,Delayed
AAS,On Time
AAT,Cancelled
AAT,Delayed
AAT,On Time
AAU,Cancelled
AAU,Delayed
AAU,On Time
AAV,Cancelled
AAV,Delayed
AAV,On Time
AAX,Cancelled
AAX,Delayed
AAX,On Time
AAY,Cancelled
AAY,Delayed
AAY,On Time
AAZ,Cancelled
AAZ,Delayed
AAZ,On Time
ABA,Cancelled
ABA,Delayed
ABB,Cancelled
ABB,Delayed
ABB,On Time
ABC,Cancelled
ABC,Delayed
ABC,On Time
ABD,Cancelled
ABD,Delayed
ABD,On Time
ABE,Cancelled
ABE,Delayed
ABE,On Time
ABF,Cancelled
ABF,Delayed
ABF,On Time
ABG,Cancelled
ABG,Delayed
ABG,On Time
ABH,Cancelled
ABH,Delayed
ABH,On Time
ABI,Cancelled
ABI,Delayed
ABI,On Time
ABJ,Cancelled
ABJ,Delayed
ABJ,On Time
ABK,Cancelled
ABK,Delayed
ABK,On Time
ABL,Cancelled
ABL,Delayed
ABL,On Time
ABM,Cancelled
ABM,Delayed
ABM,On Time
ABN,Cancelled
ABN,Delayed
ABN,On Time
ABO,Cancelled
ABO,Delayed
ABO,On Time
ABP,Cancelled
ABP,Delayed
ABP,On Time
ABQ,Cancelled
ABQ,Delayed
ABQ,On Time
ABR,Cancelled
ABR,Delayed
ABR,On Time
ABS,Cancelled
ABS,Delayed
ABS,On Time
ABT,Cancelled
ABT,Delayed
ABT,On Time
ABU,Cancelled
ABU,Delayed
ABV,Cancelled
ABV,Delayed
ABV,On Time
ABW,Cancelled
ABW,Delayed
ABW,On Time
ABX,Cancelled
ABX,Delayed
ABX,On Time
ABY,Cancelled
ABY,Delayed
ABY,On Time
ABZ,Cancelled
ABZ,Delayed
ABZ,On Time
ACA,Cancelled
ACA,Delayed
ACA,On Time
ACB,Cancelled
ACB,Delayed
ACB,On Time
ACC,Cancelled
ACC,Delayed
ACC,On Time
ACD,Cancelled
ACD,On Time
ACE,Cancelled
ACE,Delayed
ACE,On Time
ACF,Cancelled
ACF,Delayed
ACF,On Time
ACH,Cancelled
ACH,Delayed
ACH,On Time
ACI,Cancelled
ACI,Delayed
ACI,On Time
ACJ,Cancelled
ACJ,Delayed
ACJ,On Time
ACK,Cancelled
ACK,Delayed
ACL,Cancelled
ACL,Delayed
ACL,On Time
ACM,Cancelled
ACM,Delayed
ACM,On Time
ACN,Cancelled
ACN,Delayed
ACN,On Time
ACO,Cancelled
ACO,Delayed
ACO,On Time
ACP,Cancelled
ACP,Delayed
ACP,On Time
ACR,Cancelled
ACR,Delayed
ACR,On Time
ACS,Cancelled
ACS,Delayed
ACS,On Time
ACT,Cancelled
ACT,Delayed
ACT,On Time
ACU,Cancelled
ACU,Delayed
ACU,On Time
ACV,Cancelled
ACV,Delayed
